constraint,item,required,actual,status
H1 Demand,"shift=20260602_5, role=TK",0,0,PASS
H1 Demand,"shift=20260602_5, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260603_1, role=CBCT",30,30,PASS
H1 Demand,"shift=20260603_1, role=TK",1,1,PASS
H1 Demand,"shift=20260603_1, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260603_2, role=CBCT",30,30,PASS
H1 Demand,"shift=20260603_2, role=TK",1,1,PASS
H1 Demand,"shift=20260603_2, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260603_3, role=CBCT",30,30,PASS
H1 Demand,"shift=20260603_3, role=TK",1,1,PASS
H1 Demand,"shift=20260603_3, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260603_4, role=CBCT",20,20,PASS
H1 Demand,"shift=20260603_4, role=TK",1,1,PASS
H1 Demand,"shift=20260603_4, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260604_1, role=CBCT",9,9,PASS
H1 Demand,"shift=20260604_1, role=TK",1,1,PASS
H1 Demand,"shift=20260604_1, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260604_2, role=CBCT",4,4,PASS
H1 Demand,"shift=20260604_2, role=TK",7,7,PASS
H1 Demand,"shift=20260604_2, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260604_3, role=CBCT",0,0,PASS
H1 Demand,"shift=20260604_3, role=TK",2,2,PASS
H1 Demand,"shift=20260604_3, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260605_2, role=CBCT",22,22,PASS
H1 Demand,"shift=20260605_2, role=TK",0,0,PASS
H1 Demand,"shift=20260605_2, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260605_3, role=CBCT",30,30,PASS
H1 Demand,"shift=20260605_3, role=TK",0,0,PASS
H1 Demand,"shift=20260605_3, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260605_4, role=CBCT",5,5,PASS
H1 Demand,"shift=20260605_4, role=TK",0,0,PASS
H1 Demand,"shift=20260605_4, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260608_1, role=CBCT",2,2,PASS
H1 Demand,"shift=20260608_1, role=TK",0,0,PASS
H1 Demand,"shift=20260608_1, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260608_2, role=CBCT",33,33,PASS
H1 Demand,"shift=20260608_2, role=TK",0,0,PASS
H1 Demand,"shift=20260608_2, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260608_3, role=CBCT",33,33,PASS
H1 Demand,"shift=20260608_3, role=TK",0,0,PASS
H1 Demand,"shift=20260608_3, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260608_4, role=CBCT",7,7,PASS
H1 Demand,"shift=20260608_4, role=TK",0,0,PASS
H1 Demand,"shift=20260608_4, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260609_2, role=CBCT",20,20,PASS
H1 Demand,"shift=20260609_2, role=TK",5,5,PASS
H1 Demand,"shift=20260609_2, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260609_3, role=CBCT",15,15,PASS
H1 Demand,"shift=20260609_3, role=TK",0,0,PASS
H1 Demand,"shift=20260609_3, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260609_4, role=CBCT",1,1,PASS
H1 Demand,"shift=20260609_4, role=TK",0,0,PASS
H1 Demand,"shift=20260609_4, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260610_1, role=CBCT",2,2,PASS
H1 Demand,"shift=20260610_1, role=TK",0,0,PASS
H1 Demand,"shift=20260610_1, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260610_2, role=CBCT",1,1,PASS
H1 Demand,"shift=20260610_2, role=TK",0,0,PASS
H1 Demand,"shift=20260610_2, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260610_3, role=CBCT",31,31,PASS
H1 Demand,"shift=20260610_3, role=TK",4,4,PASS
H1 Demand,"shift=20260610_3, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260610_4, role=CBCT",1,1,PASS
H1 Demand,"shift=20260610_4, role=TK",0,0,PASS
H1 Demand,"shift=20260610_4, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260611_1, role=CBCT",1,1,PASS
H1 Demand,"shift=20260611_1, role=TK",0,0,PASS
H1 Demand,"shift=20260611_1, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260611_3, role=CBCT",29,29,PASS
H1 Demand,"shift=20260611_3, role=TK",2,2,PASS
H1 Demand,"shift=20260611_3, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260612_1, role=CBCT",32,32,PASS
H1 Demand,"shift=20260612_1, role=TK",0,0,PASS
H1 Demand,"shift=20260612_1, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260612_2, role=CBCT",6,6,PASS
H1 Demand,"shift=20260612_2, role=TK",0,0,PASS
H1 Demand,"shift=20260612_2, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260612_3, role=CBCT",33,33,PASS
H1 Demand,"shift=20260612_3, role=TK",0,0,PASS
H1 Demand,"shift=20260612_3, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260612_4, role=CBCT",22,22,PASS
H1 Demand,"shift=20260612_4, role=TK",0,0,PASS
H1 Demand,"shift=20260612_4, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260613_1, role=CBCT",4,4,PASS
H1 Demand,"shift=20260613_1, role=TK",0,0,PASS
H1 Demand,"shift=20260613_1, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260613_2, role=CBCT",8,8,PASS
H1 Demand,"shift=20260613_2, role=TK",0,0,PASS
H1 Demand,"shift=20260613_2, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260613_3, role=CBCT",10,10,PASS
H1 Demand,"shift=20260613_3, role=TK",0,0,PASS
H1 Demand,"shift=20260613_3, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260613_4, role=CBCT",10,10,PASS
H1 Demand,"shift=20260613_4, role=TK",0,0,PASS
H1 Demand,"shift=20260613_4, role=CHAIR",0,0,PASS
H2 Eligibility,"CB=CB001, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB001, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB001, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB001, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB001, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB001, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB001, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB001, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB001, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB001, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB001, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB002, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB002, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB002, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB002, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB002, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB002, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB002, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB002, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB002, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB002, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB002, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB003, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB003, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB003, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB003, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB003, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB003, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB003, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB003, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB003, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB003, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB003, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB004, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB004, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB004, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB004, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB004, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB004, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB004, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB004, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB004, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB004, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB004, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB005, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB005, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB005, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB005, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB005, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB005, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB005, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB005, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB005, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB005, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB006, role=TK",eligible,True,PASS
H2 Eligibility,"CB=CB006, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB006, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB006, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB006, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB006, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB006, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB006, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB006, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB006, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB007, role=TK",eligible,True,PASS
H2 Eligibility,"CB=CB007, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB007, role=TK",eligible,True,PASS
H2 Eligibility,"CB=CB007, role=TK",eligible,True,PASS
H2 Eligibility,"CB=CB007, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB007, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB007, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB007, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB007, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB007, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB008, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB008, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB008, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB008, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB008, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB008, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB008, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB008, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB008, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB008, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB008, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB009, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB009, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB009, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB009, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB009, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB009, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB009, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB009, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB009, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB009, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB009, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB010, role=CHAIR",eligible,True,PASS
H2 Eligibility,"CB=CB010, role=CHAIR",eligible,True,PASS
H2 Eligibility,"CB=CB010, role=CHAIR",eligible,True,PASS
H2 Eligibility,"CB=CB010, role=CHAIR",eligible,True,PASS
H2 Eligibility,"CB=CB010, role=CHAIR",eligible,True,PASS
H2 Eligibility,"CB=CB010, role=CBCT",eligible,True,PASS
H2 Eligibility,"CB=CB011, role=CHAIR",eligible,True,PASS
H2 Eligibility,"CB=CB011, role=CHAIR",eligible,True,PASS
