alpha_travel,alpha_cost,status,time,std,travel,cost,max
1,0.5,FEASIBLE,10.117478609085083,1.7486676815731417,2,7850,16
1,1.0,FEASIBLE,10.132138729095459,1.7246754266368651,2,7850,16
1,3.0,FEASIBLE,10.136656284332275,1.716603492209915,1,7850,16
5,0.5,FEASIBLE,10.12186312675476,1.7407070065926111,0,7850,16
5,1.0,FEASIBLE,10.135391235351562,1.732709757871419,1,7850,16
5,3.0,FEASIBLE,10.156205892562866,1.7407070065926111,0,7850,16
15,0.5,FEASIBLE,10.116391897201538,1.732709757871419,0,7850,16
15,1.0,FEASIBLE,10.124571323394775,1.6921566760007605,0,7850,15
15,3.0,FEASIBLE,10.128625869750977,1.7486676815731417,0,7850,16
